Name,Description,Example,Conditional requirement conditions
**Spot_ID**,A unique identifier for this bright Spot.,1,
**Channel**,The wavelength characteristics of the Emission channel that was used to image this DNA Bright Spot., 510/20,
**Fluor**,The name of the Fluorophore whose Emission is utilized to detect this DNA Bright Spot., Alexa Fluor 488,
*Conditionally_Required_Column_1*,,,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): placeholder for one of the reserved metric columns listed in the header; required only if that metric is reported."
*Conditionally_Required_Column_2*,,,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): placeholder for one of the reserved metric columns listed in the header; required only if that metric is reported."
*Conditionally_Required_Column_3*,,,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): placeholder for one of the reserved metric columns listed in the header; required only if that metric is reported."
Optional_Column_1,,,
Optional_Column_2,,,
Optional_Column_3,,,
